kansai-international-airport,KANSAI-INTERNATIONAL-AIRPORT
kansaiinternationalairport,KANSAIINTERNATIONALAIRPORT
uzumasa-tenjingawa-river,UZUMASA-TENJINGAWA-RIVER
ogoto-onsen-hot-spring,OGOTO-ONSEN-HOT-SPRING
omuro-ninna-ji-temple,OMURO-NINNA-JI-TEMPLE
subwayshijokarasuma,SUBWAYSHIJOKARASUMA
subwayshijikarasuma,SUBWAYSHIJIKARASUMA
kyotoshiyakushomae,KYOTOSHIYAKUSHOMAE
uzumasa-tenjingawa,UZUMASA-TENJINGAWA
katsura-gawa-river,KATSURA-GAWA-RIVER
yase-hieizanguchi,YASE-HIEIZANGUCHI
jingu-marutamachi,JINGU-MARUTAMACHI
uzumasatenjingawa,UZUMASATENJINGAWA
yasehieizanguchi,YASEHIEIZANGUCHI
tofuku-ji-temple,TOFUKU-JI-TEMPLE
jingumarutamachi,JINGUMARUTAMACHI
shijokawaramachi,SHIJOKAWARAMACHI
gojokawaramachi,GOJOKAWARAMACHI
higashi-okayama,HIGASHI-OKAYAMA
saga-arashiyama,SAGA-ARASHIYAMA
kansai-airport,KANSAI-AIRPORT
higashiokayama,HIGASHIOKAYAMA
tennoji-temple,TENNOJI-TEMPLE
amanohashidate,AMANOHASHIDATE
omuro-ninna-ji,OMURO-NINNA-JI
universal-city,UNIVERSAL-CITY
sagaarashiyama,SAGAARASHIYAMA
shijo-karasuma,SHIJO-KARASUMA
universalcity,UNIVERSALCITY
nishioji-oike,NISHIOJI-OIKE
sasayamaguchi,SASAYAMAGUCHI
hida-takayama,HIDA-TAKAYAMA
kamitobaguchi,KAMITOBAGUCHI
kokusaikaikan,KOKUSAIKAIKAN
karasuma-oike,KARASUMA-OIKE
shijokarasuma,SHIJOKARASUMA
nishioojioike,NISHIOOJIOIKE
kansaiairport,KANSAIAIRPORT
katsura-gawa,KATSURA-GAWA
kuina-bridge,KUINA-BRIDGE
sanjo-keihan,SANJO-KEIHAN
karasumaoike,KARASUMAOIKE
omuroninnaji,OMURONINNAJI
to-ji-temple,TO-JI-TEMPLE
jr-amagasaki,JR-AMAGASAKI
hidatakayama,HIDATAKAYAMA
marutamachi,MARUTAMACHI
kuramaguchi,KURAMAGUCHI
matsugasaki,MATSUGASAKI
higashiyama,HIGASHIYAMA
sanjokeihan,SANJOKEIHAN
ogoto-onsen,OGOTO-ONSEN
kawaramachi,KAWARAMACHI
katsuragawa,KATSURAGAWA
chushojima,CHUSHOJIMA
gion-shijo,GION-SHIJO
tanbaguchi,TANBAGUCHI
shin-osaka,SHIN-OSAKA
sakai-city,SAKAI-CITY
ogotoonsen,OGOTOONSEN
kuinabashi,KUINABASHI
higasiyama,HIGASIYAMA
takatsuki,TAKATSUKI
nijojomae,NIJOJOMAE
gionshijo,GIONSHIJO
shinosaka,SHINOSAKA
imadegawa,IMADEGAWA
hiroshima,HIROSHIMA
yamashina,YAMASHINA
amagasaki,AMAGASAKI
higashino,HIGASHINO
nagitsuji,NAGITSUJI
kanazawa,KANAZAWA
kamakura,KAMAKURA
kitayama,KITAYAMA
rokujizo,ROKUJIZO
misasagi,MISASAGI
hanazono,HANAZONO
tofukuji,TOFUKUJI
yokohama,YOKOHAMA
fushimi,FUSHIMI
tennoji,TENNOJI
uzumasa,UZUMASA
sapporo,SAPPORO
kitaoji,KITAOJI
tsuruga,TSURUGA
fujieda,FUJIEDA
ishida,ISHIDA
matsue,MATSUE
toyama,TOYAMA
ashiya,ASHIYA
nagoya,NAGOYA
takeda,TAKEDA
hakata,HAKATA
kyoto,KYOTO
obaku,OBAKU
osaka,OSAKA
shijo,SHIJO
tsuge,TSUGE
daigo,DAIGO
kanku,KANKU
keage,KEAGE
umeda,UMEDA
sakai,SAKAI
sabae,SABAE
inari,INARI
tokyo,TOKYO
kobe,KOBE
jujo,JUJO
gojo,GOJO
nara,NARA
nijo,NIJO
kujo,KUJO
toji,TOJI
ise,ISE
uji,UJI
usj,USJ
ono,ONO
