subway-shijo-karasuma,SUBWAY-SHIJO-KARASUMA
kyotosiyakushomae,KYOTOSIYAKUSHOMAE
uzumasatenjingawa,UZUMASATENJINGAWA
yasehieizanguchi,YASEHIEIZANGUCHI
tofuku-ji-temple,TOFUKU-JI-TEMPLE
higashi-okayama,HIGASHI-OKAYAMA
higashiokayama,HIGASHIOKAYAMA
kansai-airport,KANSAI-AIRPORT
amanohashidate,AMANOHASHIDATE
tennoji-temple,TENNOJI-TEMPLE
sagaarashiyama,SAGAARASHIYAMA
kamitobaguchi,KAMITOBAGUCHI
kokusaikaikan,KOKUSAIKAIKAN
kurayamaguchi,KURAYAMAGUCHI
nishiojioike,NISHIOJIOIKE
karasumaoike,KARASUMAOIKE
omuroninnaji,OMURONINNAJI
to-ji-temple,TO-JI-TEMPLE
sanjokeihan,SANJOKEIHAN
chushoshima,CHUSHOSHIMA
matsugasaki,MATSUGASAKI
marutamachi,MARUTAMACHI
higashiyama,HIGASHIYAMA
higasiyama,HIGASIYAMA
tanbaguchi,TANBAGUCHI
kunaibashi,KUNAIBASHI
ogotoonsen,OGOTOONSEN
yamashina,YAMASHINA
imadegawa,IMADEGAWA
takatsuki,TAKATSUKI
amagasaki,AMAGASAKI
nijojomae,NIJOJOMAE
gionshijo,GIONSHIJO
shinosaka,SHINOSAKA
hiroshima,HIROSHIMA
higasihno,HIGASIHNO
kiatyama,KIATYAMA
kitaooji,KITAOOJI
tofukuji,TOFUKUJI
rokujizo,ROKUJIZO
kanazawa,KANAZAWA
hanazono,HANAZONO
nagituji,NAGITUJI
misasagi,MISASAGI
tsuruga,TSURUGA
fushimi,FUSHIMI
tennoji,TENNOJI
fujieda,FUJIEDA
sapporo,SAPPORO
uzumasa,UZUMASA
nagoya,NAGOYA
ishida,ISHIDA
oubaku,OUBAKU
takeda,TAKEDA
hakata,HAKATA
ashiya,ASHIYA
sabae,SABAE
inari,INARI
daigo,DAIGO
keage,KEAGE
shijo,SHIJO
kyoto,KYOTO
tsuge,TSUGE
osaka,OSAKA
kanku,KANKU
sakai,SAKAI
tokyo,TOKYO
nijo,NIJO
toji,TOJI
kobe,KOBE
nara,NARA
gojo,GOJO
kujo,KUJO
jujo,JUJO
uji,UJI
usj,USJ
ono,ONO
